f0,f1,f2,f3,f4,centroide_espectral,ancho_banda,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,energia_promedio,variabilidad_energia,n_onsets,duracion_efectiva,f0_variabilidad,f0_rango,archivo,tipo_audio,etiqueta,genero,voz
227.01879762105816,361.89380949628327,361.89380949628327,1227.5173465271166,1227.5173465271166,1744.306632618622,2752.4276497811074,2591.814630681818,0.03467906605113636,-213.1233191788182,160.1662307747936,-38.393053532127524,-12.940301977605502,3.820791080199538,0.21359888,0.09537804,5,0.4992290249433107,33.18110784379534,96.3028071511124,la1.wav,silaba,la,female,aguda
217.06260806553092,528.4606858506042,528.4606858506042,813.4838742872046,813.4838742872046,1385.4082969610788,1418.150133976968,2457.012728987069,0.03705886314655173,-290.9839393481531,188.16392569968963,-61.83125246642711,-16.16074557149349,39.39688603443885,0.15997764,0.09791962,3,0.3250793650793651,7.261897221144947,26.770974452583886,la11.wav,silaba,la,female,aguda
291.80245144273977,655.154592084101,655.154592084101,1425.9381596044807,1425.9381596044807,2449.1407071602275,1792.9134050219086,4282.752403846154,0.07741135817307693,-251.9515104531101,155.03329374264055,-135.77258812630623,-1.3711694359616837,-4.543110106367863,0.16533269,0.09247775,2,0.26666666666666666,46.89041105686493,205.34558778697664,la17.wav,silaba,la,female,aguda
81.92880312747796,301.8929865315774,301.8929865315774,836.8224294056173,836.8224294056173,994.9959680941429,1483.1242926344928,1907.3722375690609,0.01850612914364641,-347.53042588716454,156.98312017701178,22.327921119656917,10.4550990708702,24.317882387393716,0.08208659,0.10923275,19,1.92,53.58043137015835,176.81444402239367,la18.wav,silaba,la,female,grave
246.78115400304546,316.42569407225767,316.42569407225767,919.1148680980499,919.1148680980499,2176.9628394832525,3438.598521348494,3925.6685697115386,0.033077924679487176,-188.43682735723917,151.56970187430144,-14.892128039414152,-12.280137540936376,-1.7346370767237125,0.23396996,0.11672783,4,0.44117913832199546,43.95258619112246,147.4937261829928,la2.wav,silaba,la,female,aguda
183.48549908784383,325.67490489622685,325.67490489622685,909.4823833385293,909.4823833385293,926.1246788417352,1283.2414066871522,1420.166015625,0.02077520461309524,-253.15140937827312,223.07882398328127,-10.055175171137622,-6.02379222277291,-1.995995545643294,0.23553126,0.09189378,4,0.47600907029478456,21.98208896328758,152.31014961162427,la3.wav,silaba,la,female,media
189.99258891855112,390.5107964497172,390.5107964497172,1060.0418789661762,1060.0418789661762,1675.3111805980163,2687.2931450425026,2036.1650887182204,0.03994802701271186,-198.1873079636205,183.98911433127824,-22.8130801508691,-31.89733319916299,-16.59682230896992,0.1991922,0.08849658,5,0.6733786848072563,70.36266312367974,272.26449802100655,la4.wav,silaba,la,female,media
232.15997485761142,498.310051357234,498.310051357234,912.1654349494764,912.1654349494764,1663.9359670942583,2068.748224073779,3028.7563981681033,0.03596443965517242,-248.59705827773234,176.00947790612406,-67.731633009576,-3.4829903787840175,-3.0323678072009317,0.19971445,0.10643531,2,0.3250793650793651,35.05077186163981,186.93696863808157,la5.wav,silaba,la,female,aguda
199.61490742194886,379.8412055474296,379.8412055474296,1906.3455515708104,1906.3455515708104,1065.973092000282,1586.0387649006566,1923.438819679054,0.017670502533783782,-248.46673560427527,168.42051798358946,-18.162605956643358,37.761916859445336,30.645141320880956,0.26882938,0.15009364,5,0.4179591836734694,23.23710938080675,84.48156604961395,la6.wav,silaba,la,female,media
255.6871531946881,533.5876678582067,533.5876678582067,1026.568234642064,1026.568234642064,1254.2960733362133,1424.2199644643576,1609.9658203125,0.03414713541666667,-241.05020765963187,178.01547529186402,-40.284191304325375,-9.733519534007298,-34.72330537402242,0.26673323,0.13998853,4,0.33668934240362813,41.17956426862723,167.1136315167264,la7.wav,silaba,la,female,aguda
212.22548283497542,317.968758082022,317.968758082022,891.4766114471413,891.4766114471413,902.0181624827943,1223.0150728168137,1292.530517578125,0.0217041015625,-285.59302041420096,214.07806547361525,2.077106237026812,0.28103322973209777,7.832178425305171,0.2177432,0.101923995,5,0.4527891156462585,36.827773675341284,159.74505267657207,la8.wav,silaba,la,female,aguda
